ACADEMIC_PERIOD,Department,Subject,Crs .,Title,IType,Sec .,CRN,Min Cr,Max Credit,Stat,Perm,Days,Meeting Time String,Dates,BldgRoom String,Enrl*,Lim**,Graduate Students,INSTRUCTOR_ID,Instructor,Instructor_Title,Grd?,Mode,Link ID,Link Cnct,XList Group,XList Enrl,XList Max Enrl,XList Seats Avail
202320,Technology Ldrshp & Innovatn,TLI,45590,Human Resources Capstone,LEC,001,15588,3.0,3.0,,,TR,10:30 AM-11:45 AM,01/09/23-04/29/23,KNOY B029,16,36,No,34033769.0,"Grant, Brandon C.",Assistant Professor,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Schl of Construction Mgmt Tech,CM,25000,Intermediate Const Mgmt,LEC,004,11268,9.0,9.0,,,TR,08:30 AM-11:20 AM,01/09/23-04/29/23,KRAN G016,91,93,No,35530712.0,"Guan, Shanyue",Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Schl of Construction Mgmt Tech,CM,30000,Advanced Pre-Con Mgmt,LEC,004,11239,9.0,9.0,,,TR,02:30 PM-05:20 PM,01/09/23-04/29/23,CRTN 1011,83,81,No,35530712.0,"Guan, Shanyue",Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Schl of Construction Mgmt Tech,CM,35000,Advanced Const Mgmt,LEC,004,11286,9.0,9.0,,,MW,08:30 AM-11:20 AM,01/09/23-04/29/23,WALC B058,110,108,No,35530712.0,"Guan, Shanyue",Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Computer Graphics Technology,CGT,34100,Motion For Comp Anim,LEC,001,13559,3.0,3.0,,,MW,09:30 AM-10:20 AM,01/09/23-04/29/23,DUDL 1383,30,30,Graduate Student,30507870.0,"Guo, Siqi",Student,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Computer Graphics Technology,CGT,44200,Productn Cmptr Animatn,LEC,007,24799,3.0,3.0,,,TR,05:30 PM-06:20 PM,01/09/23-04/29/23,SYNC ONLINE,15,30,Graduate Student,30507870.0,"Guo, Siqi",Student,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Schl of Construction Mgmt Tech,CM,39000,Construction Work Exp I,LEC,001,16246,1.0,1.0,,,F,09:30 AM-10:20 AM,01/09/23-04/29/23,SYNC ONLINE,78,100,No,18336601.0,"Habben, Steven G.",Lecturer,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Schl of Construction Mgmt Tech,CM,49000,Construction Work Exp II,LEC,001,16254,1.0,1.0,,,F,10:30 AM-11:20 AM,01/09/23-04/29/23,SYNC ONLINE,70,78,No,18336601.0,"Habben, Steven G.",Lecturer,Y,Reg,Unk,Unk,Unk,0.0,0.0,0.0
202320,Schl of Aviation & Transp Tech,AT,20802,Aircraft Materials,LEC,001,12091,3.0,3.0,,,WF,08:30 AM-09:20 AM,01/09/23-04/29/23,NISW 184,26,39,No,27979443.0,"Habig, Ashley E.",Clinical Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
202320,Schl of Aviation & Transp Tech,AT,20802,Aircraft Materials,LEC,008,16133,3.0,3.0,,,MW,01:30 PM-02:20 PM,01/09/23-04/29/23,NISW 214,37,39,No,27979443.0,"Habig, Ashley E.",Clinical Assistant Professor,Y,Reg,A1,A2,Unk,0.0,0.0,0.0
